,client_id,date_order,sales_net
150,1773169,2017-10-06,5909.451217308378
151,1773169,2017-10-09,119204.47195223218
152,1773169,2017-10-10,20763.16044977526
153,1773169,2017-10-11,55905.17492645525
154,1773169,2017-10-12,23367.52496968431
155,1773169,2017-10-13,30946.272564918767
156,1773169,2017-10-16,41206.873500322596
157,1773169,2017-10-17,30579.691400637785
158,1773169,2017-10-18,31589.358458588234
159,1773169,2017-10-19,21914.193975207214
160,1773169,2017-10-20,85559.10204179888
161,1773169,2017-10-23,25965.199472505283
162,1773169,2017-10-24,28810.132565475287
163,1773169,2017-10-25,36568.7386512595
164,1773169,2017-10-26,18148.316916715692
165,1773169,2017-10-27,19093.46593414329
166,1773169,2017-10-30,18257.825490565203
167,1773169,2017-10-31,20334.608379306123
168,1773169,2017-11-01,12233.179144705882
169,1773169,2017-11-02,68817.11427059377
170,1773169,2017-11-03,3792.527208666667
171,1773169,2017-11-06,33623.56702151722
172,1773169,2017-11-07,108179.68590982149
173,1773169,2017-11-08,74316.51260657588
174,1773169,2017-11-09,37943.482555515104
175,1773169,2017-11-10,195595.82007030066
176,1773169,2017-11-13,26251.84929529314
177,1773169,2017-11-14,63674.28291280112
178,1773169,2017-11-15,39504.69174666667
179,1773169,2017-11-16,24278.091841398335
180,1773169,2017-11-17,55034.679465333335
181,1773169,2017-11-20,39924.774971026374
182,1773169,2017-11-21,27565.232870333333
183,1773169,2017-11-22,116005.26866937727
184,1773169,2017-11-23,9527.042274666668
185,1773169,2017-11-24,90241.04595031674
186,1773169,2017-11-27,43086.07812245807
187,1773169,2017-11-28,69107.14980615117
188,1773169,2017-11-29,40905.78766420974
189,1773169,2017-11-30,51618.53742393767
190,1773169,2017-12-01,27198.43635396639
191,1773169,2017-12-04,17846.97163115912
192,1773169,2017-12-05,28967.069049560287
193,1773169,2017-12-06,5602.985430676221
194,1773169,2017-12-07,105296.5372979878
195,1773169,2017-12-08,27893.357681342262
196,1773169,2017-12-11,35736.04235279602
197,1773169,2017-12-12,65766.90088198215
198,1773169,2017-12-13,10575.754254117648
199,1773169,2017-12-14,38595.595305407485
200,1773169,2017-12-15,26717.708611565613
201,1773169,2017-12-19,53826.235278533335
202,1773169,2017-12-20,13090.048972128852
203,1773169,2017-12-21,19111.31929108497
204,1773169,2017-12-22,64365.055100552636
205,1773169,2017-12-25,21096.056784380955
206,1773169,2017-12-26,27410.72571124035
207,1773169,2017-12-27,45549.47398397337
208,1773169,2017-12-28,41452.24777073237
209,1773169,2017-12-29,22109.984945770117
210,1773169,2018-01-01,84483.49337566798
211,1773169,2018-01-02,42556.7057963308
212,1773169,2018-01-03,12545.229728941178
213,1773169,2018-01-04,21725.22651665366
214,1773169,2018-01-05,49620.15226642174
215,1773169,2018-01-08,144042.14047190742
216,1773169,2018-01-09,56016.69532990883
217,1773169,2018-01-10,56795.56194348921
218,1773169,2018-01-11,135192.7334206386
219,1773169,2018-01-12,19213.77708974747
220,1773169,2018-01-15,46772.67922281818
221,1773169,2018-01-16,23648.484326513644
222,1773169,2018-01-17,18894.89286826144
223,1773169,2018-01-18,36625.74023884656
224,1773169,2018-01-19,85139.14700536219
225,1773169,2018-01-22,85499.8378244695
226,1773169,2018-01-23,19240.066468049157
227,1773169,2018-01-24,22590.939357333333
228,1773169,2018-01-26,10780.36672451282
229,1773169,2018-01-29,237405.31029217958
230,1773169,2018-01-30,35565.68809789586
231,1773169,2018-01-31,61138.30470032714
232,1773169,2018-02-01,21142.364806240617
233,1773169,2018-02-02,10154.396623147504
234,1773169,2018-02-05,107716.93404736728
235,1773169,2018-02-06,180364.23458556124
236,1773169,2018-02-07,21377.672741758193
237,1773169,2018-02-08,34375.56145138749
238,1773169,2018-02-09,23440.614864000003
239,1773169,2018-02-12,36640.36250601465
240,1773169,2018-02-13,18222.126205404973
241,1773169,2018-02-14,32529.23015014001
242,1773169,2018-02-15,41751.25632347916
243,1773169,2018-02-16,7299.009213333334
244,1773169,2018-02-19,115169.6057966326
245,1773169,2018-02-20,22500.369373464055
246,1773169,2018-02-21,95418.78087793334
247,1773169,2018-02-22,96800.2988092183
248,1773169,2018-02-23,7912.889903839081
249,1773169,2018-02-26,112200.07165717217
250,1773169,2018-02-27,37503.489566271586
